,,,Parasite genus,Gyrodactylus,Discocotyle,Diplostomum,Apatemon,Cotylurus,Lissorchis,Bunodera,Crepidostomum,Phyllodistomum,Glaridacris,Hunterella,Cyathocephalus,Eubothrium,Eubothrium,Bothriocephalus,Diphyllobothrium,Schistocephalus,Triaenophorus,Triaenophorus,Triaenophorus,Triaenophorus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Raphidascaris,Raphidascaris,Haplonema,Philonema,Cystidicola,Rhabdochona,Neoechinorhynchus,Metechinorhynchus,Pomphorhynchus,Cystobranchus,Ergasilus,Ergasilus,Ergasilus,Salmincola,Salmincola
,Relative abundance,,Parasite species,sp.,sagittata,spathaceum (L),gracilis (L),erraticus (L),attenuatum,luciopercae,farionis,coregoni,sp.,nodulosa,truncatus,rugosum,salvelini,cuspidatus,sp. (L),solidus (L),crassus,crassus (L),nodulosus,nodulosus (L),exiguus,filicollis,pinguis,sp. A,acus,acus (L),hamulatum,agubernaculum,farionis,cascadilla,strigosus,salmonis,bulbocolli,verrilli,auritus,nerkae,sp. A,extensus,extumescens
Host species,(see Leong & Holmes 1981),Sample size,No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Coregonus artedii,12.5,757,1,0,20.9,0,0,1.1,0,0,1.6,0,0,0,7.8,0,0,0,1.2,0,0,0.7,0,0,0,20.3,0,0,0,0,0,0.9,1.5,0,0,32.4,2,0,25.1,35.3,0,0.1,0
Coregonus clupeaformis,2.85,836,2,0,65.3,1.4,0,48.7,0,0,0.2,1.9,0,0,72.8,0,0,0,0.1,0,0,0,0,0,14.3,0,0,0,0,0,0,0,76.1,0,0,99.5,1,0,1.2,5.1,0,30.9,26.3
Salvelinus namaycush,0.08,35,3,0,0,5.7,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,5.7,0,0,0,0,0,8.6,0,0,0,0,0,100,5.7,0,5.7,2.9,0,0,0
Oncorhynchus kisutch,0.04,291,4,0,0.3,0,0,0,0,0,10.5,0,0,0,0.7,0,2.4,0,5.5,0.3,0,0,0,3.1,0,0,0,0,0,0,0,16.8,4.8,0,0.7,99.4,6.5,0,17.2,38.1,0,0,0
Esox lucius,0.3,62,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,3.2,0,90.3,0,0,0,1.6,0,3.2,0,0,0,0,0,1.6,83.9,0,0,0,0,0,0,0
Catostomus catostomus,0.55,12,6,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.3,0,83.3,0,0,0,0,11.1,0,0
Catostomus commersoni,1.09,36,7,0,0,0,0,0,13.8,0,0,0,5.6,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,13.8,8.3,100,0,0,0,11.1,0,0
Lota lota,0.06,29,8,0,0,0,0,0,0,0,0,0,0,0,6.9,79.3,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,5.2,0,0,0,0,100,0,3.4,0,0,0,0,0
Pungitius pungitius,12.5,1038,9,59.1,0,74.7,11,45.6,0,4.3,0,0,0,0,0,0,0,0,0,31.6,0,0,0,11.8,0,11.7,0,0,0,0.2,0,0,0,0,0,19,0.6,0,13.3,0,0,0,0
Stizostedion vitreum,0.15,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,66.7,0,0,0,0,0,0,0